Model,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
Decision Tree,0.037267080745341616,0.15789473684210525,0.06030150753768844,0.5396748752615483,0.025652602083633576
Logistic Regression,0.022413793103448276,0.34210526315789475,0.042071197411003236,0.5615510488760126,0.02370319019238863
Random Forest,0.0,0.0,0.0,0.5304603251247385,0.021876495380014613
Gradient Boosting,0.0,0.0,0.0,0.5210982348838458,0.021960929524595843
XGBoost,0.0,0.0,0.0,0.5809324534578036,0.02328355774740674
LightGBM,0.0,0.0,0.0,0.5681903535597405,0.022760948994216115
