Feature,Importance
previous_transactions,0.14793555818214482
device_type_tablet,0.13255321143144408
device_type_mobile,0.060796694221902314
customer_location_IL,0.04832457008754467
transaction_day_of_week,0.04451645145167269
customer_location_NY,0.04090281452445126
customer_location_TX,0.03738166175093018
transaction_month,0.029495810528284837
amount_ratio,0.027944525198709932
customer_location_FL,0.021860732753481972
merchant_category_fuel,0.017379338963063876
transaction_hour,0.014268795180698101
amount_deviation,0.010171218163819261
transaction_day,0.009911819422470564
customer_age,0.007537816280416648
merchant_category_entertainment,0.0062534336103123025
amount,0.005028675687851259
merchant_category_grocery,0.0017356686831112816
merchant_category_fashion,0.0004632128465803996
is_night,0.0
customer_avg_amount,0.0
is_weekend,0.0
